Season Number,Startup Name,Industry_Cleaned,Pitchers City,Pitchers State,Pitchers Average Age,Gross Margin,Net Margin,Yearly Revenue_M_INR,Monthly Sales_M_INR,Original Ask Amount_M_INR,Valuation Requested_M_INR,Total Deal Amount_M_INR,Deal Valuation_M_INR,Total Deal Equity,Total Deal Debt_M_INR,Royalty Percentage,Number of Sharks in Deal,Deal_Success_Flag,Received Offer,Accepted Offer,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Founder_Type,Namita Investment Amount_M_INR,Vineeta Investment Amount_M_INR,Anupam Investment Amount_M_INR,Aman Investment Amount_M_INR,Peyush Investment Amount_M_INR,Ritesh Investment Amount_M_INR,Amit Investment Amount_M_INR,Guest Investment Amount_M_INR
3,Intervue,Technology/Software,"Ludhiana,Ghaziabad","Punjab,Uttar Pradesh",Young,,,87.0,0.0,15.0,1500.0,15.0,750.0,2.0,0.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
3,RodBez,Vehicles/Electrical Vehicles,Saharsa,Bihar,Middle,,,0.0,0.6,5.0,100.0,2.0,40.0,5.0,3.0,,2.0,1,1,1.0,2,2.0,,0,Male Team,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,Blix,Technology/Software,Mumbai,Maharashtra,Middle,50.0,,40.0,3.6,8.0,400.0,8.0,200.0,4.0,0.0,,2.0,1,1,1.0,1,1.0,,0,Male Team,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
3,Homversity,Technology/Software,Ahmedabad,Gujarat,Young,,,0.0,10.0,6.5,325.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TURMS,Beauty/Fashion,Bangalore,Karnataka,Old,,,7.0,8.6,12.0,600.0,12.0,300.0,4.0,0.0,,1.0,1,1,1.0,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
3,mintree,Beauty/Fashion,Nagpur,Maharashtra,Middle,,,90.0,0.0,9.0,900.0,9.0,600.0,1.5,0.0,,2.0,1,1,1.0,1,,1.0,0,Female Team,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.5
3,80Wash,Manufacturing,Chandigarh,Punjab,Middle,,,0.0,0.0,10.0,400.0,0.0,0.0,,0.0,,,0,0,,3,3.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,DilFoods,F&B,Ranchi,Jharkhand,Middle,,,70.0,0.0,5.0,1000.0,20.0,749.0636704,2.67,0.0,,4.0,1,1,1.0,1,,1.0,0,Female Team,0.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0
3,AIKavach/Panoplia,Technology/Software,Hyderabad,Telangana,Middle,,,0.0,0.0,5.0,400.0,10.0,400.0,2.5,0.0,,2.0,1,1,1.0,1,,1.0,0,Female Team,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
3,Bartisans,Other,Mumbai,Maharashtra,Middle,70.0,,14.3,3.5,10.0,400.0,0.0,0.0,,0.0,,,0,1,0.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aretto,Manufacturing,Pune,Maharashtra,Middle,57.0,,70.0,6.0,8.0,800.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kalakaram,Manufacturing,Gurgaon,Haryana,Middle,,23.0,50.0,5.0,5.0,200.0,6.0,0.0,6.0,0.0,,3.0,1,1,1.0,1,1.0,,0,Male Team,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
3,NabhiSutra,Beauty/Fashion,Vadodara,Gujarat,Middle,,8.0,45.0,5.0,6.0,200.0,0.0,0.0,,0.0,,,0,0,,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Zorko,F&B,Surat,Gujarat,Young,40.0,20.0,300.0,24.0,15.0,1500.0,0.0,0.0,,0.0,,,0,1,0.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Tramboo,Fitness/Sports/Outdoors,Srinagar,Jammu & Kashmir,Young,,25.0,60.0,1.8,3.0,100.0,3.0,75.0,4.0,0.0,,2.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0
3,WeHear,Medical/Health,Ahmedabad,Gujarat,Middle,,,28.2,9.3,25.0,2500.0,25.0,2500.0,1.0,0.0,,1.0,1,1,1.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
3,Tiggle,F&B,Agra,Uttar Pradesh,Young,,,15.0,1.2,5.0,100.0,5.0,25.0,20.0,0.0,2.0,2.0,1,1,1.0,1,,1.0,0,Female Team,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0
3,WYLDCard,Technology/Software,Mumbai,Maharashtra,Middle,,,0.0,0.0,5.0,1000.0,7.5,500.0,1.5,0.0,,1.0,1,1,1.0,3,3.0,,0,Male Team,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
3,upliance.ai,Lifestyle/Home,Bangalore,Karnataka,Middle,,,0.0,0.0,10.0,1000.0,0.0,0.0,,0.0,,,0,1,0.0,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PizzaGalleria,F&B,Gohana,Haryana,Middle,,15.0,11.5,0.0,10.0,500.0,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AiCars,Vehicles/Electrical Vehicles,Yavatmal,Maharashtra,Young,,,0.0,0.0,20.0,500.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,RooftopApp,Technology/Software,Mumbai,Maharashtra,Middle,,,0.0,0.0,20.0,500.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GoenchiFeni,Other,Goa,Goa,Middle,42.0,,0.0,0.0,10.0,200.0,20.0,133.3333333,15.0,0.0,,1.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
3,Arata,Beauty/Fashion,Delhi,Delhi,Middle,,5.0,17.0,20.0,10.0,800.0,10.0,751.8796992,1.33,0.0,,2.0,1,1,1.0,2,2.0,,0,Male Team,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
